ref_animal,ref_treatment,ref_implantation,ref_marker,ref_tissue,ref_section_number,ref_side,ref_quantification
SNI13,SNI,no,TCR,SN,4,ipsilateral,0.000003482
SNI13,no,no,TCR,SN,1,contralateral,0.000003917
SNI13,no,no,TCR,SN,2,contralateral,0.000000766
SNI13,no,no,TCR,SN,3,contralateral,0
SNI13,no,no,TCR,SN,4,contralateral,0
SNI14,SNI,no,TCR,SN,1,ipsilateral,0.000000729
SNI14,SNI,no,TCR,SN,2,ipsilateral,0
SNI14,SNI,no,TCR,SN,3,ipsilateral,0.000000618
SNI14,SNI,no,TCR,SN,4,ipsilateral,0
SNI14,no,no,TCR,SN,1,contralateral,0
SNI15,SNI,no,TCR,SN,1,ipsilateral,0.000004226
SNI15,SNI,no,TCR,SN,2,ipsilateral,0.000000631
SNI15,SNI,no,TCR,SN,3,ipsilateral,0.000003081
SNI15,SNI,no,TCR,SN,4,ipsilateral,0.000006312
SNI15,no,no,TCR,SN,1,contralateral,0.000000887
SNI15,no,no,TCR,SN,2,contralateral,0.000000476
SNI15,no,no,TCR,SN,3,contralateral,0
SNI15,no,no,TCR,SN,4,contralateral,0.000000542
CISNI01,SNI,acute,TCR,SN,1,ipsilateral,7.38E-05
CISNI01,SNI,acute,TCR,SN,2,ipsilateral,9.65E-05
CISNI01,SNI,acute,TCR,SN,3,ipsilateral,0.000100453
CISNI01,SNI,acute,TCR,SN,4,ipsilateral,8.27E-05
CISNI01,no,no,TCR,SN,1,contralateral,3.22E-07
CISNI01,no,no,TCR,SN,2,contralateral,7.46E-07
CISNI01,no,no,TCR,SN,3,contralateral,6.16E-07
CISNI01,no,no,TCR,SN,4,contralateral,0
CISNI02,SNI,acute,TCR,SN,1,ipsilateral,0
CISNI02,SNI,acute,TCR,SN,2,ipsilateral,3.79E-06
CISNI02,SNI,acute,TCR,SN,3,ipsilateral,7.45E-06
CISNI02,SNI,acute,TCR,SN,4,ipsilateral,9.76E-06
CISNI02,no,no,TCR,SN,1,contralateral,0
CISNI02,no,no,TCR,SN,2,contralateral,0
CISNI02,no,no,TCR,SN,3,contralateral,0
CISNI03,SNI,acute,TCR,SN,1,ipsilateral,2.25E-05
CISNI03,SNI,acute,TCR,SN,2,ipsilateral,0.000031737
CISNI03,SNI,acute,TCR,SN,3,ipsilateral,1.86E-06
CISNI03,SNI,acute,TCR,SN,4,ipsilateral,0
CISNI03,no,no,TCR,SN,1,contralateral,0
CISNI03,no,no,TCR,SN,2,contralateral,0
