ref_animal,ref_treatment,ref_implantation,ref_marker,ref_tissue,ref_section_number,ref_side,ref_quantification
CCIC04,no,chronic,Iba1,SN,2,ipsilateral,0.0113
CCIC04,no,chronic,Iba1,SN,3,ipsilateral,0.0065
CCIC04,no,no,Iba1,SN,1,contralateral,0.01
CCIC04,no,no,Iba1,SN,2,contralateral,0.0053
CCIC04,no,no,Iba1,SN,3,contralateral,0.0183
CCIC04,no,no,Iba1,SN,4,contralateral,0.007
CCIC05,no,chronic,Iba1,SN,1,ipsilateral,0.0097
CCIC05,no,chronic,Iba1,SN,2,ipsilateral,0.0114
CCIC05,no,chronic,Iba1,SN,3,ipsilateral,0.0038
CCIC05,no,chronic,Iba1,SN,4,ipsilateral,0.013
CCIC05,no,chronic,Iba1,SN,5,ipsilateral,0.007
CCIC05,no,no,Iba1,SN,1,contralateral,0.0049
CCIC05,no,no,Iba1,SN,2,contralateral,0.002
CCIC05,no,no,Iba1,SN,3,contralateral,0.0059
CCIC05,no,no,Iba1,SN,4,contralateral,0.0058
CCIC06,no,chronic,Iba1,SN,1,ipsilateral,0.0061
CCIC06,no,chronic,Iba1,SN,2,ipsilateral,0.0049
CCIC06,no,chronic,Iba1,SN,3,ipsilateral,0.0069
CCIC06,no,chronic,Iba1,SN,4,ipsilateral,0.004
CCIC06,no,no,Iba1,SN,1,contralateral,0.0033
CCIC06,no,no,Iba1,SN,2,contralateral,0.0037
CCIC06,no,no,Iba1,SN,3,contralateral,0.0035
CCIC06,no,no,Iba1,SN,4,contralateral,0.0031
CCIC06,no,no,Iba1,SN,5,contralateral,0.0021
CFA06,CFA,no,MBP,SN,1,ipsilateral,0.4576
CFA06,CFA,no,MBP,SN,2,ipsilateral,0.3719
CFA06,CFA,no,MBP,SN,3,ipsilateral,0.6049
CFA06,no,no,MBP,SN,1,contralateral,0.6403
CFA06,no,no,MBP,SN,2,contralateral,0.3741
CFA06,no,no,MBP,SN,3,contralateral,0.4153
CFA06,no,no,MBP,SN,4,contralateral,0.4121
CFA09,CFA,no,MBP,SN,1,ipsilateral,0.4894
CFA09,CFA,no,MBP,SN,2,ipsilateral,0.2765
CFA09,CFA,no,MBP,SN,3,ipsilateral,0.2808
CFA09,CFA,no,MBP,SN,4,ipsilateral,0.4274
CFA09,no,no,MBP,SN,1,contralateral,0.5871
CFA09,no,no,MBP,SN,2,contralateral,0.3814
CFA09,no,no,MBP,SN,3,contralateral,0.3757
CFA12,CFA,no,MBP,SN,1,ipsilateral,0.3126
CFA12,CFA,no,MBP,SN,2,ipsilateral,0.3284
CFA12,CFA,no,MBP,SN,3,ipsilateral,0.2572
CFA12,no,no,MBP,SN,1,contralateral,0.3047
CFA12,no,no,MBP,SN,2,contralateral,0.2245
CFA12,no,no,MBP,SN,3,contralateral,0.3388
CFA14,CFA,no,MBP,SN,1,ipsilateral,0.1689
CFA14,CFA,no,MBP,SN,2,ipsilateral,0.3466
CFA14,CFA,no,MBP,SN,3,ipsilateral,0.3588
CFA14,CFA,no,MBP,SN,4,ipsilateral,0.3423
CFA14,no,no,MBP,SN,1,contralateral,0.4746
CFA14,no,no,MBP,SN,2,contralateral,0.3026
CFA14,no,no,MBP,SN,3,contralateral,0.3038
CFA15,CFA,no,MBP,SN,1,ipsilateral,0.5399
CFA15,CFA,no,MBP,SN,2,ipsilateral,0.1576
CFA15,CFA,no,MBP,SN,3,ipsilateral,0.3043
CFA15,no,no,MBP,SN,1,contralateral,0.3034
CFA15,no,no,MBP,SN,2,contralateral,0.4593
CFA15,no,no,MBP,SN,3,contralateral,0.3614
CFA17,CFA,no,MBP,SN,1,ipsilateral,0.3253
CFA17,CFA,no,MBP,SN,2,ipsilateral,0.3513
CFA17,CFA,no,MBP,SN,3,ipsilateral,0.3784
CFA17,CFA,no,MBP,SN,4,ipsilateral,0.4079
CFA17,CFA,no,MBP,SN,5,ipsilateral,0.4548
CFA17,no,no,MBP,SN,1,contralateral,0.4229
CFA17,no,no,MBP,SN,2,contralateral,0.3314
CICFA02,CFA,acute,MBP,SN,1,ipsilateral,0.2894
CICFA02,CFA,acute,MBP,SN,2,ipsilateral,0.2114
CICFA02,CFA,acute,MBP,SN,3,ipsilateral,0.1734
CICFA02,CFA,acute,MBP,SN,4,ipsilateral,0.3004
CICFA02,no,no,MBP,SN,1,contralateral,0.2668
CICFA02,no,no,MBP,SN,2,contralateral,0.3372
CICFA02,no,no,MBP,SN,3,contralateral,0.3432
CICFA03,CFA,acute,MBP,SN,1,ipsilateral,0.2852
CICFA03,CFA,acute,MBP,SN,2,ipsilateral,0.2348
CICFA03,CFA,acute,MBP,SN,3,ipsilateral,0.2052
CICFA03,CFA,acute,MBP,SN,4,ipsilateral,0.2742
CICFA03,no,no,MBP,SN,1,contralateral,0.3392
CICFA03,no,no,MBP,SN,2,contralateral,0.3771
CICFA03,no,no,MBP,SN,3,contralateral,0.3459
CICFA03,no,no,MBP,SN,4,contralateral,0.2679
CICFA04,CFA,acute,MBP,SN,1,ipsilateral,0.3561
CICFA04,CFA,acute,MBP,SN,2,ipsilateral,0.545
CICFA04,CFA,acute,MBP,SN,3,ipsilateral,0.2755
CICFA04,CFA,acute,MBP,SN,4,ipsilateral,0.5527
CICFA04,CFA,acute,MBP,SN,5,ipsilateral,0.4295
CICFA04,no,no,MBP,SN,1,contralateral,0.4356
CICFA04,no,no,MBP,SN,2,contralateral,0.3815
CICFA04,no,no,MBP,SN,3,contralateral,0.4194
CICFA05,CFA,acute,MBP,SN,1,ipsilateral,0.2573
CICFA05,CFA,acute,MBP,SN,2,ipsilateral,0.4247
CICFA05,CFA,acute,MBP,SN,3,ipsilateral,0.4208
CICFA05,no,no,MBP,SN,1,contralateral,0.3357
CICFA05,no,no,MBP,SN,2,contralateral,0.305
CICFA05,no,no,MBP,SN,3,contralateral,0.3646
CICFA05,no,no,MBP,SN,4,contralateral,0.4062
CICFA05,no,no,MBP,SN,5,contralateral,0.2811
CICFA06,CFA,acute,MBP,SN,1,ipsilateral,0.3833
CICFA06,CFA,acute,MBP,SN,2,ipsilateral,0.4647
CICFA06,CFA,acute,MBP,SN,3,ipsilateral,0.4192
CICFA06,CFA,acute,MBP,SN,4,ipsilateral,0.3942
CICFA06,no,no,MBP,SN,1,contralateral,0.526
SNI10,SNI,no,MBP,SN,1,ipsilateral,0.2736
SNI10,SNI,no,MBP,SN,2,ipsilateral,0.2338
SNI10,SNI,no,MBP,SN,3,ipsilateral,0.1735
SNI10,SNI,no,MBP,SN,4,ipsilateral,0.3469
SNI10,SNI,no,MBP,SN,5,ipsilateral,0.2941
SNI10,no,no,MBP,SN,1,contralateral,0.2606
SNI10,no,no,MBP,SN,2,contralateral,0.2452
SNI10,no,no,MBP,SN,3,contralateral,0.3749
SNI10,no,no,MBP,SN,4,contralateral,0.4109
SNI12,SNI,no,MBP,SN,1,ipsilateral,0.2587
SNI12,SNI,no,MBP,SN,2,ipsilateral,0.3811
SNI12,no,no,MBP,SN,1,contralateral,0.3289
SNI12,no,no,MBP,SN,2,contralateral,0.34
SNI12,no,no,MBP,SN,4,contralateral,0.3494
SNI12,no,no,MBP,SN,5,contralateral,0.4334
SNI13,SNI,no,MBP,SN,1,ipsilateral,0.3074
SNI13,SNI,no,MBP,SN,2,ipsilateral,0.4198
SNI13,SNI,no,MBP,SN,3,ipsilateral,0.2367
SNI13,SNI,no,MBP,SN,4,ipsilateral,0.2748
SNI13,SNI,no,MBP,SN,5,ipsilateral,0.3462
SNI13,no,no,MBP,SN,1,contralateral,0.4436
SNI13,no,no,MBP,SN,2,contralateral,0.4275
SNI14,SNI,no,MBP,SN,1,ipsilateral,0.1998
SNI14,SNI,no,MBP,SN,2,ipsilateral,0.496
SNI14,SNI,no,MBP,SN,3,ipsilateral,0.3004
SNI14,SNI,no,MBP,SN,4,ipsilateral,0.2473
SNI14,no,no,MBP,SN,1,contralateral,0.4789
SNI14,no,no,MBP,SN,2,contralateral,0.423
SNI14,no,no,MBP,SN,3,contralateral,0.1711
SNI14,no,no,MBP,SN,4,contralateral,0.2955
SNI15,SNI,no,MBP,SN,1,ipsilateral,0.378
SNI15,SNI,no,MBP,SN,2,ipsilateral,0.3566
SNI15,SNI,no,MBP,SN,3,ipsilateral,0.3604
SNI15,SNI,no,MBP,SN,4,ipsilateral,0.4022
SNI15,no,no,MBP,SN,1,contralateral,0.4295
SNI15,no,no,MBP,SN,2,contralateral,0.3412
SNI15,no,no,MBP,SN,3,contralateral,0.4993
SNI15,no,no,MBP,SN,4,contralateral,0.4802
CISNI01,SNI,acute,MBP,SN,1,ipsilateral,0.277
CISNI01,SNI,acute,MBP,SN,2,ipsilateral,0.3467
CISNI01,SNI,acute,MBP,SN,3,ipsilateral,0.2469
CISNI01,SNI,acute,MBP,SN,4,ipsilateral,0.1564
CISNI01,no,no,MBP,SN,1,contralateral,0.3013
CISNI01,no,no,MBP,SN,2,contralateral,0.3154
CISNI01,no,no,MBP,SN,3,contralateral,0.3375
CISNI01,no,no,MBP,SN,4,contralateral,0.339
CISNI02,SNI,acute,MBP,SN,1,ipsilateral,0.4614
CISNI02,SNI,acute,MBP,SN,2,ipsilateral,0.4617
CISNI02,SNI,acute,MBP,SN,3,ipsilateral,0.3881
CISNI02,SNI,acute,MBP,SN,4,ipsilateral,0.441
CISNI02,SNI,acute,MBP,SN,5,ipsilateral,0.4064
CISNI02,no,no,MBP,SN,1,contralateral,0.2665
CISNI02,no,no,MBP,SN,2,contralateral,0.4493
CISNI03,SNI,acute,MBP,SN,1,ipsilateral,0.4475
CISNI03,SNI,acute,MBP,SN,2,ipsilateral,0.3903
CISNI03,SNI,acute,MBP,SN,3,ipsilateral,0.4972
CISNI03,SNI,acute,MBP,SN,4,ipsilateral,0.4947
CISNI03,no,no,MBP,SN,1,contralateral,0.3317
CISNI03,no,no,MBP,SN,2,contralateral,0.4723
CISNI03,no,no,MBP,SN,3,contralateral,0.517
CISNI03,no,no,MBP,SN,4,contralateral,0.5393
CISNI04,SNI,acute,MBP,SN,1,ipsilateral,0.1742
CISNI04,SNI,acute,MBP,SN,2,ipsilateral,0.2082
CISNI04,SNI,acute,MBP,SN,3,ipsilateral,0.1527
CISNI04,SNI,acute,MBP,SN,4,ipsilateral,0.1716
CISNI04,no,no,MBP,SN,1,contralateral,0.4268
CISNI04,no,no,MBP,SN,2,contralateral,0.3764
CISNI04,no,no,MBP,SN,3,contralateral,0.3806
CISNI04,no,no,MBP,SN,4,contralateral,0.3523
CISNI05,SNI,acute,MBP,SN,1,ipsilateral,0.2389
CISNI05,SNI,acute,MBP,SN,2,ipsilateral,0.1563
CISNI05,SNI,acute,MBP,SN,3,ipsilateral,0.18
CISNI05,SNI,acute,MBP,SN,4,ipsilateral,0.2657
CISNI05,no,no,MBP,SN,1,contralateral,0.3527
CISNI05,no,no,MBP,SN,2,contralateral,0.3251
CISNI05,no,no,MBP,SN,3,contralateral,0.4812
CISNI05,no,no,MBP,SN,4,contralateral,0.3813
CISNI06,SNI,acute,MBP,SN,1,ipsilateral,0.1854
CISNI06,SNI,acute,MBP,SN,2,ipsilateral,0.2994
CISNI06,SNI,acute,MBP,SN,3,ipsilateral,0.2773
CISNI06,SNI,acute,MBP,SN,4,ipsilateral,0.2363
CISNI06,no,no,MBP,SN,1,contralateral,0.3639
CISNI06,no,no,MBP,SN,2,contralateral,0.2822
CISNI06,no,no,MBP,SN,3,contralateral,0.3266
CISNI06,no,no,MBP,SN,4,contralateral,0.3454
CISNI07,SNI,acute,MBP,SN,1,ipsilateral,0.3494
CISNI07,SNI,acute,MBP,SN,2,ipsilateral,0.2945
CISNI07,SNI,acute,MBP,SN,3,ipsilateral,0.2717
CISNI07,SNI,acute,MBP,SN,4,ipsilateral,0.3033
CISNI07,no,no,MBP,SN,1,contralateral,0.2346
CISNI07,no,no,MBP,SN,2,contralateral,0.4278
CISNI07,no,no,MBP,SN,3,contralateral,0.4261
CISNI07,no,no,MBP,SN,4,contralateral,0.4783
CIC04,no,acute,MBP,SN,1,ipsilateral,0.2667
CIC04,no,acute,MBP,SN,2,ipsilateral,0.3764
CIC04,no,acute,MBP,SN,3,ipsilateral,0.2812
CIC04,no,no,MBP,SN,1,contralateral,0.4061
CIC04,no,no,MBP,SN,2,contralateral,0.363
CIC04,no,no,MBP,SN,3,contralateral,0.4023
CIC05,no,acute,MBP,SN,1,ipsilateral,0.2354
CIC05,no,acute,MBP,SN,2,ipsilateral,0.2092
CIC05,no,no,MBP,SN,1,contralateral,0.3695
CIC05,no,no,MBP,SN,2,contralateral,0.2606
CIC05,no,no,MBP,SN,3,contralateral,0.397
CIC05,no,no,MBP,SN,4,contralateral,0.3707
CIC06,no,acute,MBP,SN,1,ipsilateral,0.4436
CIC06,no,no,MBP,SN,1,contralateral,0.3411
CIC06,no,no,MBP,SN,2,contralateral,0.4549
CIC06,no,no,MBP,SN,3,contralateral,0.3645
CIC07,no,acute,MBP,SN,1,ipsilateral,0.3593
CIC07,no,acute,MBP,SN,2,ipsilateral,0.3206
CIC07,no,acute,MBP,SN,3,ipsilateral,0.423
CIC07,no,no,MBP,SN,1,contralateral,0.308
CIC07,no,no,MBP,SN,2,contralateral,0.5486
CIC08,no,acute,MBP,SN,1,ipsilateral,0.3689
CIC08,no,acute,MBP,SN,2,ipsilateral,0.2599
CIC08,no,acute,MBP,SN,3,ipsilateral,0.372
CIC08,no,acute,MBP,SN,4,ipsilateral,0.1445
CIC08,no,acute,MBP,SN,5,ipsilateral,0.4035
CIC08,no,acute,MBP,SN,6,ipsilateral,0.2912
CIC08,no,no,MBP,SN,1,contralateral,0.3856
CIC08,no,no,MBP,SN,2,contralateral,0.3565
CIC08,no,no,MBP,SN,3,contralateral,0.3078
CIC08,no,no,MBP,SN,4,contralateral,0.5258
CCIC01,no,chronic,MBP,SN,1,ipsilateral,0.4297
CCIC01,no,chronic,MBP,SN,2,ipsilateral,0.4353
CCIC01,no,chronic,MBP,SN,3,ipsilateral,0.3869
CCIC01,no,no,MBP,SN,1,contralateral,0.5463
CCIC01,no,no,MBP,SN,2,contralateral,0.5176
CCIC01,no,no,MBP,SN,3,contralateral,0.4379
CCIC02,no,chronic,MBP,SN,1,ipsilateral,0.3492
CCIC02,no,chronic,MBP,SN,2,ipsilateral,0.2855
CCIC02,no,chronic,MBP,SN,3,ipsilateral,0.2474
CCIC02,no,chronic,MBP,SN,4,ipsilateral,0.3601
CCIC02,no,chronic,MBP,SN,5,ipsilateral,0.3888
CCIC02,no,chronic,MBP,SN,6,ipsilateral,0.3051
CCIC02,no,chronic,MBP,SN,7,ipsilateral,0.273
CCIC02,no,no,MBP,SN,1,contralateral,0.3345
CCIC02,no,no,MBP,SN,2,contralateral,0.4356
CCIC02,no,no,MBP,SN,3,contralateral,0.2768
CCIC02,no,no,MBP,SN,4,contralateral,0.4062
CCIC02,no,no,MBP,SN,5,contralateral,0.4315
CCIC02,no,no,MBP,SN,6,contralateral,0.3743
CCIC02,no,no,MBP,SN,7,contralateral,0.4068
CCIC02,no,no,MBP,SN,8,contralateral,0.3292
CCIC04,no,chronic,MBP,SN,1,ipsilateral,0.2242
CCIC04,no,chronic,MBP,SN,2,ipsilateral,0.4584
CCIC04,no,chronic,MBP,SN,3,ipsilateral,0.41
CCIC04,no,no,MBP,SN,1,contralateral,0.4693
CCIC04,no,no,MBP,SN,2,contralateral,0.4545
CCIC04,no,no,MBP,SN,3,contralateral,0.4565
CCIC04,no,no,MBP,SN,4,contralateral,0.456
CCIC05,no,chronic,MBP,SN,1,ipsilateral,0.4807
CCIC05,no,chronic,MBP,SN,2,ipsilateral,0.4437
CCIC05,no,chronic,MBP,SN,3,ipsilateral,0.5808
CCIC05,no,no,MBP,SN,1,contralateral,0.3581
CCIC05,no,no,MBP,SN,2,contralateral,0.3117
CCIC05,no,no,MBP,SN,3,contralateral,0.2844
CCIC05,no,no,MBP,SN,4,contralateral,0.4787
CCIC06,no,chronic,MBP,SN,1,ipsilateral,0.3845
CCIC06,no,chronic,MBP,SN,2,ipsilateral,0.3178
CCIC06,no,chronic,MBP,SN,3,ipsilateral,0.2276
CCIC06,no,chronic,MBP,SN,4,ipsilateral,0.3087
CCIC06,no,no,MBP,SN,1,contralateral,0.3788
CCIC06,no,no,MBP,SN,2,contralateral,0.4979
CCIC06,no,no,MBP,SN,3,contralateral,0.4118
CCIC06,no,no,MBP,SN,4,contralateral,0.4106
CFA12,CFA,no,TCR,DRG,1,ipsilateral,5.10E-06
CFA12,CFA,no,TCR,DRG,2,ipsilateral,8.18E-06
CFA12,CFA,no,TCR,DRG,3,ipsilateral,6.39E-06
CFA12,CFA,no,TCR,DRG,4,ipsilateral,5.58E-06
CFA12,no,no,TCR,DRG,1,contralateral,0
CFA12,no,no,TCR,DRG,2,contralateral,0
CFA13,CFA,no,TCR,DRG,1,ipsilateral,1.67E-05
CFA13,CFA,no,TCR,DRG,2,ipsilateral,7.87E-06
CFA13,CFA,no,TCR,DRG,3,ipsilateral,6.71E-06
CFA13,CFA,no,TCR,DRG,4,ipsilateral,1.40E-05
CFA13,no,no,TCR,DRG,1,contralateral,1.78E-05
CFA13,no,no,TCR,DRG,2,contralateral,2.48E-05
CFA13,no,no,TCR,DRG,3,contralateral,0
CFA14,CFA,no,TCR,DRG,1,ipsilateral,0
CFA14,CFA,no,TCR,DRG,2,ipsilateral,5.69E-05
CFA14,CFA,no,TCR,DRG,3,ipsilateral,0
CFA14,CFA,no,TCR,DRG,4,ipsilateral,0
CFA14,no,no,TCR,DRG,1,contralateral,3.55E-06
CFA14,no,no,TCR,DRG,2,contralateral,7.46E-06
CFA14,no,no,TCR,DRG,3,contralateral,4.88E-06
CFA14,no,no,TCR,DRG,4,contralateral,2.93E-06
CFA15,CFA,no,TCR,DRG,1,ipsilateral,1.41E-05
CFA15,CFA,no,TCR,DRG,2,ipsilateral,7.55E-06
CFA15,CFA,no,TCR,DRG,3,ipsilateral,0
CFA15,CFA,no,TCR,DRG,4,ipsilateral,0
CFA15,CFA,no,TCR,DRG,5,ipsilateral,0
CFA15,no,no,TCR,DRG,1,contralateral,8.29E-06
CFA15,no,no,TCR,DRG,2,contralateral,1.37E-05
CFA15,no,no,TCR,DRG,3,contralateral,1.25E-05
CFA15,no,no,TCR,DRG,4,contralateral,7.92E-06
CFA15,no,no,TCR,DRG,5,contralateral,2.74E-06
CICFA02,CFA,acute,TCR,DRG,1,ipsilateral,0
CICFA02,CFA,acute,TCR,DRG,2,ipsilateral,2.26E-06
CICFA02,CFA,acute,TCR,DRG,3,ipsilateral,2.40E-06
CICFA02,CFA,acute,TCR,DRG,4,ipsilateral,4.61E-06
CICFA02,no,no,TCR,DRG,1,contralateral,3.13E-06
CICFA02,no,no,TCR,DRG,2,contralateral,8.28E-06
CICFA02,no,no,TCR,DRG,3,contralateral,3.85E-06
CICFA02,no,no,TCR,DRG,4,contralateral,1.63E-05
CICFA02,CFA,acute,TCR,DRG,1,ipsilateral,1.86E-05
CICFA03,CFA,acute,TCR,DRG,2,ipsilateral,0
CICFA03,CFA,acute,TCR,DRG,3,ipsilateral,1.33E-05
CICFA03,no,no,TCR,DRG,1,contralateral,4.40E-06
CICFA03,no,no,TCR,DRG,2,contralateral,3.31E-06
CICFA03,no,no,TCR,DRG,3,contralateral,4.73E-06
CICFA03,no,no,TCR,DRG,4,contralateral,0
CICFA05,CFA,acute,TCR,DRG,1,ipsilateral,3.10E-06
CICFA05,CFA,acute,TCR,DRG,2,ipsilateral,2.01E-06
CICFA05,no,no,TCR,DRG,1,contralateral,9.56E-06
CICFA05,no,no,TCR,DRG,2,contralateral,0.000003247
CICFA05,no,no,TCR,DRG,3,contralateral,6.83E-06
CICFA06,CFA,acute,TCR,DRG,1,ipsilateral,4.62E-06
CICFA06,CFA,acute,TCR,DRG,2,ipsilateral,9.31E-06
CICFA06,no,no,TCR,DRG,1,contralateral,1.11E-05
CICFA06,no,no,TCR,DRG,2,contralateral,2.80E-06
CICFA06,no,no,TCR,DRG,3,contralateral,7.90E-06
SNI07,SNI,no,TCR,DRG,1,ipsilateral,0
SNI07,SNI,no,TCR,DRG,2,ipsilateral,7.07E-06
SNI07,SNI,no,TCR,DRG,3,ipsilateral,0
SNI07,no,no,TCR,DRG,1,contralateral,1.97E-05
SNI07,no,no,TCR,DRG,2,contralateral,3.53E-05
SNI07,no,no,TCR,DRG,3,contralateral,2.24E-05
SNI07,no,no,TCR,DRG,4,contralateral,0
SNI08,SNI,no,TCR,DRG,1,ipsilateral,6.75E-05
SNI08,SNI,no,TCR,DRG,2,ipsilateral,4.01E-05
SNI08,SNI,no,TCR,DRG,3,ipsilateral,0
SNI08,no,no,TCR,DRG,1,contralateral,4.66E-06
SNI08,no,no,TCR,DRG,2,contralateral,4.16E-06
SNI08,no,no,TCR,DRG,3,contralateral,3.60E-06
SNI11,SNI,no,TCR,DRG,1,ipsilateral,0.000019329
SNI11,SNI,no,TCR,DRG,2,ipsilateral,2.58E-05
SNI11,SNI,no,TCR,DRG,3,ipsilateral,4.57E-05
SNI11,no,no,TCR,DRG,1,contralateral,5.71E-06
SNI11,no,no,TCR,DRG,2,contralateral,5.03E-06
SNI11,no,no,TCR,DRG,3,contralateral,5.02E-06
SNI12,SNI,no,TCR,DRG,1,ipsilateral,3.71E-06
SNI12,SNI,no,TCR,DRG,2,ipsilateral,1.05E-05
SNI12,no,no,TCR,DRG,1,contralateral,0.00000971
SNI12,no,no,TCR,DRG,2,contralateral,0.000003359
SNI12,no,no,TCR,DRG,3,contralateral,1.45E-05
SNI12,no,no,TCR,DRG,4,contralateral,3.84E-06
SNI13,SNI,no,TCR,DRG,1,ipsilateral,1.28E-05
SNI13,SNI,no,TCR,DRG,2,ipsilateral,2.99E-06
SNI13,SNI,no,TCR,DRG,3,ipsilateral,2.00E-06
SNI13,no,no,TCR,DRG,1,contralateral,9.41E-06
SNI13,no,no,TCR,DRG,2,contralateral,4.01E-06
SNI13,no,no,TCR,DRG,3,contralateral,1.76E-05
SNI13,no,no,TCR,DRG,4,contralateral,1.22E-05
SNI13,no,no,TCR,DRG,5,contralateral,4.15E-06
SNI14,SNI,no,TCR,DRG,1,ipsilateral,0.000003163
SNI14,SNI,no,TCR,DRG,2,ipsilateral,0.000010108
SNI14,SNI,no,TCR,DRG,3,ipsilateral,4.70E-06
SNI14,SNI,no,TCR,DRG,4,ipsilateral,3.78E-06
SNI14,no,no,TCR,DRG,1,contralateral,1.38E-05
SNI14,no,no,TCR,DRG,2,contralateral,1.44E-05
SNI14,no,no,TCR,DRG,3,contralateral,1.41E-05
SNI15,SNI,no,TCR,DRG,1,ipsilateral,1.04E-05
SNI15,SNI,no,TCR,DRG,2,ipsilateral,7.32E-06
SNI15,SNI,no,TCR,DRG,3,ipsilateral,1.75E-05
SNI15,no,no,TCR,DRG,1,contralateral,0.000037987
SNI15,no,no,TCR,DRG,2,contralateral,0.000021954
SNI15,no,no,TCR,DRG,3,contralateral,0.000044665
SNI15,no,no,TCR,DRG,4,contralateral,0.000016749
SNI15,no,no,TCR,DRG,5,contralateral,2.47E-05
CISNI01,SNI,acute,TCR,DRG,1,ipsilateral,7.35E-06
CISNI01,SNI,acute,TCR,DRG,2,ipsilateral,0.000016961
CISNI01,SNI,acute,TCR,DRG,3,ipsilateral,2.05E-05
CISNI01,no,no,TCR,DRG,1,contralateral,1.43E-05
CISNI01,no,no,TCR,DRG,2,contralateral,7.30E-06
CISNI01,no,no,TCR,DRG,3,contralateral,6.06E-06
CISNI01,no,no,TCR,DRG,4,contralateral,0.000004498
CISNI02,SNI,acute,TCR,DRG,1,ipsilateral,1.15E-05
CISNI02,SNI,acute,TCR,DRG,2,ipsilateral,1.53E-05
CISNI02,SNI,acute,TCR,DRG,3,ipsilateral,1.43E-05
CISNI02,no,no,TCR,DRG,1,contralateral,7.61E-06
CISNI02,no,no,TCR,DRG,2,contralateral,0.000026865
CISNI02,no,no,TCR,DRG,3,contralateral,0
CISNI02,no,no,TCR,DRG,4,contralateral,0.000008939
CISNI03,SNI,acute,TCR,DRG,1,ipsilateral,0.000064579
CISNI03,SNI,acute,TCR,DRG,2,ipsilateral,2.81E-05
CISNI03,SNI,acute,TCR,DRG,3,ipsilateral,2.18E-05
CISNI03,SNI,acute,TCR,DRG,4,ipsilateral,0.000038519
CISNI03,no,no,TCR,DRG,1,contralateral,3.92E-05
CISNI05,SNI,acute,TCR,DRG,1,ipsilateral,2.16E-05
CISNI05,SNI,acute,TCR,DRG,2,ipsilateral,2.04E-05
CISNI05,SNI,acute,TCR,DRG,3,ipsilateral,1.56E-05
CISNI05,SNI,acute,TCR,DRG,4,ipsilateral,1.90E-05
CISNI05,no,no,TCR,DRG,1,contralateral,0.00002441
CISNI05,no,no,TCR,DRG,2,contralateral,9.74E-06
CISNI05,no,no,TCR,DRG,3,contralateral,7.98E-06
CISNI05,no,no,TCR,DRG,4,contralateral,2.97E-05
CISNI06,SNI,acute,TCR,DRG,1,ipsilateral,2.17E-05
CISNI06,SNI,acute,TCR,DRG,2,ipsilateral,5.86E-06
CISNI06,SNI,acute,TCR,DRG,3,ipsilateral,1.16E-05
CISNI06,no,no,TCR,DRG,1,contralateral,6.64E-06
CISNI06,no,no,TCR,DRG,2,contralateral,0
CISNI06,no,no,TCR,DRG,3,contralateral,2.29E-06
CISNI06,no,no,TCR,DRG,4,contralateral,0
CISNI07,SNI,acute,TCR,DRG,1,ipsilateral,1.44E-05
CISNI07,SNI,acute,TCR,DRG,2,ipsilateral,8.73E-06
CISNI07,SNI,acute,TCR,DRG,3,ipsilateral,2.22E-05
CISNI07,SNI,acute,TCR,DRG,4,ipsilateral,2.51E-05
CISNI07,no,no,TCR,DRG,1,contralateral,0
CISNI07,no,no,TCR,DRG,2,contralateral,0
CISNI07,no,no,TCR,DRG,3,contralateral,1.80E-06
CIC03,no,acute,TCR,DRG,1,ipsilateral,4.45E-06
CIC03,no,acute,TCR,DRG,2,ipsilateral,0
CIC03,no,acute,TCR,DRG,3,ipsilateral,0
CIC03,no,acute,TCR,DRG,4,ipsilateral,4.07E-06
CIC03,no,no,TCR,DRG,1,contralateral,1.95E-06
CIC03,no,no,TCR,DRG,2,contralateral,3.99E-06
CIC03,no,no,TCR,DRG,3,contralateral,0
CIC03,no,no,TCR,DRG,4,contralateral,0
CIC04,no,acute,TCR,DRG,1,ipsilateral,7.82E-06
CIC04,no,acute,TCR,DRG,2,ipsilateral,1.14E-06
CIC04,no,no,TCR,DRG,1,contralateral,4.03E-06
CIC04,no,no,TCR,DRG,2,contralateral,0
CIC04,no,no,TCR,DRG,3,contralateral,1.13E-05
CIC05,no,acute,TCR,DRG,1,ipsilateral,1.13E-05
CIC05,no,acute,TCR,DRG,2,ipsilateral,5.71E-06
CIC05,no,acute,TCR,DRG,3,ipsilateral,1.04E-05
CIC05,no,acute,TCR,DRG,4,ipsilateral,6.27E-06
CIC05,no,acute,TCR,DRG,5,ipsilateral,1.10E-05
CIC05,no,no,TCR,DRG,1,contralateral,3.13E-06
CIC05,no,no,TCR,DRG,2,contralateral,1.07E-05
CIC05,no,no,TCR,DRG,3,contralateral,6.40E-06
CIC05,no,no,TCR,DRG,4,contralateral,0
CIC06,no,acute,TCR,DRG,1,ipsilateral,7.74E-06
CIC06,no,acute,TCR,DRG,2,ipsilateral,4.22E-06
CIC06,no,acute,TCR,DRG,3,ipsilateral,2.22E-06
CIC06,no,acute,TCR,DRG,4,ipsilateral,0
CIC06,no,no,TCR,DRG,1,contralateral,2.93E-06
CIC06,no,no,TCR,DRG,2,contralateral,0.000002889
CIC06,no,no,TCR,DRG,3,contralateral,0
CIC08,no,acute,TCR,DRG,1,ipsilateral,1.49E-05
CIC08,no,acute,TCR,DRG,2,ipsilateral,0.000008176
